loan_amnt,total_pymnt,total_rec_int,term,int_rate,installment,home_ownership,annual_inc,verification_status,purpose,loan_status
0.282051282051282,0.07036791145485646,0.08006934871889612,0.0,0.38186813186813184,0.2660717752447514,1.0,0.04652498564043653,0.0,0.30000000000000004,0
0.15897435897435896,0.04352382330504624,0.13487757393170288,0.0,0.6903453689167974,0.17047313975094988,1.0,0.09534750143595634,0.0,0.30000000000000004,0
0.12884615384615383,0.03290808802420885,0.029481732012676037,0.0,0.21938775510204087,0.11405552319937876,0.0,0.059448592762780014,0.0,0.2,0
0.10256410256410256,0.11075807097362791,0.0011397064048089358,0.0,0.10400313971742545,0.08605818565049783,1.0,0.059448592762780014,1.0,0.1,1
0.7435897435897435,0.721722078957249,0.34158080973155797,0.0,0.38186813186813184,0.6989488864852871,1.0,0.2820218265364733,0.0,0.30000000000000004,1
0.3589743589743589,0.3489237284875335,0.0976807969418352,0.0,0.054945054945054944,0.2972446404304296,1.0,0.11688684663986215,0.5,0.2,1
0.43589743589743585,0.39840262850284375,0.13196435930594438,1.0,0.4199372056514914,0.2810549962559281,1.0,0.06950028719126938,0.0,0.30000000000000004,0
0.3846153846153846,0.0730639393494394,0.330226378092626,1.0,0.8045525902668759,0.30838672102504366,0.0,0.04508902929350947,0.5,0.30000000000000004,0
0.4871794871794871,0.4745885621310043,0.1878938168795919,0.0,0.4199372056514914,0.4650761294616857,1.0,0.08098793796668581,0.0,0.30000000000000004,1
0.6153846153846153,0.09350504488022646,0.3174551293893618,1.0,0.4199372056514914,0.39910419613389914,1.0,0.167145318782309,0.5,0.30000000000000004,0
0.24358974358974358,0.0061478535007004976,0.007909732979010644,0.0,0.07967032967032969,0.2034140388828799,0.5,0.025264215967834576,1.0,0.0,0
0.9999999999999999,0.9519717868423397,0.3876806548338047,1.0,0.21938775510204087,0.5791108522616967,0.5,0.12406662837449742,1.0,0.30000000000000004,1
0.05128205128205127,0.07559627426076289,0.04802398783555259,0.0,0.5156985871271585,0.053158887317303165,0.5,0.10109132682366456,0.0,0.7000000000000001,0
0.3589743589743589,0.062233663673648854,0.061690517131123085,1.0,0.5003924646781789,0.24192944504534486,0.0,0.04997128087306145,1.0,0.30000000000000004,0
